model_name,repo,imagenet_top1,imagenet_top5,params,layer,hook,accuracy,baseline_accuracy
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,0,skip_layer_atten,53.22,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,0,skip_layer_attention_residual,0.1,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,0,skip_layer_ffn,0.49,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,0,skip_layer_ffn_residual,0.49,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,0,skip_layer_ffn_residual_no_residual_attention,0.0,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,0,full_layer_skip,0.29,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,1,skip_layer_atten,64.75,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,1,skip_layer_attention_residual,0.39,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,1,skip_layer_ffn,64.26,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,1,skip_layer_ffn_residual,0.1,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,1,skip_layer_ffn_residual_no_residual_attention,0.29,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,1,full_layer_skip,59.67,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,2,skip_layer_atten,65.43,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,2,skip_layer_attention_residual,0.1,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,2,skip_layer_ffn,61.62,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,2,skip_layer_ffn_residual,0.29,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,2,skip_layer_ffn_residual_no_residual_attention,0.29,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,2,full_layer_skip,57.91,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,3,skip_layer_atten,64.75,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,3,skip_layer_attention_residual,0.1,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,3,skip_layer_ffn,65.72,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,3,skip_layer_ffn_residual,0.1,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,3,skip_layer_ffn_residual_no_residual_attention,0.1,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,3,full_layer_skip,60.84,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,4,skip_layer_atten,64.65,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,4,skip_layer_attention_residual,0.29,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,4,skip_layer_ffn,63.87,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,4,skip_layer_ffn_residual,0.1,66.8
